nom,prénom,email,département,naissance,visites,dépenses
Gros,Raymond,rgros@gmail.com,62,1967-07-22,39,4954.58
Joly,Corinne,cjoly@sfr.fr,36,1949-07-05,41,3464.23
Munoz,Élisabeth,emunoz@bouygtel.fr,77,2001-05-23,113,16803.89
Pottier,Camille,cpottier@hotmail.fr,42,1972-02-17,132,2978.19
Riou,Juliette,jriou@dbmail.com,26,2005-10-11,71,148.13
Levy,Charles,clevy@bouygtel.fr,02,1946-05-07,145,6041.25
Teixeira,Juliette,jteixeira@voila.fr,42,1956-08-06,44,3757.37
Blanchard,Olivier,oblanchard@orange.fr,69,1970-06-26,130,10812.69
Nicolas,Claudine,cnicolas@wanadoo.fr,38,1977-07-06,50,2979.86
Gimenez,Suzanne,sgimenez@dbmail.com,26,2005-08-03,63,8846.59
Bruneau,Timothée,tbruneau@ifrance.com,30,1959-10-04,133,19553.56
Descamps,Juliette,jdescamps@gmail.com,33,1972-06-05,149,2779.08
Morel,Henri,hmorel@laposte.net,11,2001-02-13,53,3561.22
Huet,Dorothée,dhuet@bouygtel.fr,27,2000-11-27,9,1231.21
Peltier,Clémence,cpeltier@tele2.fr,82,1987-08-26,38,3735.85
Coste,Claire,ccoste@yahoo.fr,80,1962-10-25,96,5849.77
Munoz,Gabriel,gmunoz@bouygtel.fr,28,1965-04-26,52,320.71
Rodrigues,Eugène,erodrigues@gmail.com,89,1954-11-20,68,4268.89
Denis,André,adenis@hotmail.fr,81,1952-10-29,11,36.28
Ferreira,Véronique,vferreira@live.com,05,1981-03-15,15,66.22
Lacroix,Christiane,clacroix@yahoo.fr,93,1994-06-28,65,4626.57
Roussel,Laure,lroussel@noos.fr,33,1944-10-05,51,6103.69
Nguyen,Adèle,anguyen@club-internet.fr,23,1944-02-26,147,18681.89
Michaud,Marthe,mmichaud@yahoo.fr,25,1957-09-13,32,3655.48
Maillet,Marine,mmaillet@free.fr,26,2005-10-09,114,10004.96
Laporte,Zacharie,zlaporte@free.fr,32,1947-12-23,33,2538.7
Bazin,Charlotte,cbazin@voila.fr,52,2001-04-02,82,2881.4
Guilbert,Honoré,hguilbert@bouygtel.fr,88,1940-11-05,78,1446.62
Lambert,Nathalie,nlambert@dbmail.com,69,1959-02-11,10,1162.17
Bourdon,Adrienne,abourdon@tiscali.fr,36,1985-10-28,110,3019.46
Bouvet,Amélie,abouvet@club-internet.fr,53,1996-05-28,52,6229.29
Daniel,Marine,mdaniel@sfr.fr,2B,1956-04-16,54,4536.6
Maillet,Maryse,mmaillet@ifrance.com,72,1999-07-06,113,6127.19
Dupre,Pauline,pdupre@noos.fr,90,1943-03-08,131,11916.89
Barbier,Marthe,mbarbier@bouygtel.fr,57,1975-11-25,6,326.55
Costa,Auguste,acosta@voila.fr,41,1961-03-27,20,768.48
Levy,Laurent,llevy@noos.fr,81,1945-09-05,82,9149.26
Bernard,Thomas,tbernard@noos.fr,27,1940-12-21,11,1623.69
Lemaire,Laurent,llemaire@yahoo.fr,77,1984-03-07,15,2151.59
Ollivier,Eugène,eollivier@free.fr,50,1982-09-17,46,383.29
Ferreira,Stéphanie,sferreira@tele2.fr,32,1949-01-29,56,6148.99
Fournier,Augustin,afournier@voila.fr,26,1986-05-05,18,2322.53
Bouvet,Zoé,zbouvet@gmail.com,89,1981-05-06,62,7994.31
Gay,Lucie,lgay@tele2.fr,47,1999-04-20,148,20623.99
Dos Santos,Alain,ados santos@club-internet.fr,2A,1958-06-20,78,5225.47
Legendre,Philippine,plegendre@dbmail.com,05,1942-10-21,32,1295.61
Delaunay,Agnès,adelaunay@club-internet.fr,70,1948-10-27,137,5230.41
Colin,Thibault,tcolin@gmail.com,66,1989-08-01,118,2792.12
Legros,Théophile,tlegros@dbmail.com,14,1946-10-06,73,6868.33
Voisin,Gérard,gvoisin@dbmail.com,15,1987-08-10,14,288.94
Guyon,Xavier,xguyon@club-internet.fr,87,2000-11-11,11,1055.18
Riou,Suzanne,sriou@ifrance.com,12,1944-06-24,129,14892.32
Collin,Charles,ccollin@orange.fr,02,1946-09-03,14,1710.83
Camus,Caroline,ccamus@club-internet.fr,976,1979-10-20,146,8526.84
Bertin,Matthieu,mbertin@live.com,74,1992-11-17,19,2362.73
Andre,Gabriel,gandre@live.com,89,1941-11-17,110,16100.43
Mahe,Georges,gmahe@sfr.fr,50,1957-06-14,17,2000.04
Rodrigues,Laurence,lrodrigues@sfr.fr,14,1953-06-21,51,4682.72
Godard,François,fgodard@laposte.net,62,1950-02-05,100,13908.55
