nom,prénom,email,département,naissance,visites,dépenses
Gilles,Lucy,lgilles2@noos.fr,59,1945-07-26,99,10039.06
Chauvin,Monique,mchauvin3@ifrance.com,37,1955-08-22,134,-18630.66
Martel,Auguste,amartel3@tiscali.fr,63,1987-09-25,117,7530.4
Lefebvre,Michel,mlefebvre3@free.fr,2C,2005-13-29,99,11067.22
Normand,Tristan,tnormand@hotmail.fr,46,1990-04-12,69,2403.28
Denis,Zacharie,zdenis@voila.fr,33,1940-02-02,75,2204.66
Buisson,Victoire,vbuisson@free.fr,25,1947-08-18,43,-390.94
Baron,Gilles,gbaron@laposte.net,81,2005-03-16,85,4249.51
Lebon,Alice,alebon@live.com,51,1994-12-16,51,4179.95
Bousquet,Clémence,cbousquet@club-internet.fr,2C,1981-12-17,136,7374.01
Hamel,Charlotte,chamel1@tele2.fr,17,1944-02-16,123,4760.31
Dijoux,Andrée,adijoux@free.fr,976,1985-07-28,42,2603.23
Thomas,Alice,athomas@tele2.fr,11,1961-01-29,107,6397.84
Legros,Véronique,vlegros@laposte.net,53,1954-12-29,129,13204.53
Clerc,Michelle,mclerc1@noos.fr,46,1990-03-23,59,1707.83
Leduc,Noël,nleduc@bouygtel.fr,87,1982-03-06,12,997.03
Bertrand,Amélie,abertrand1@laposte.net,01,1961-08-29,114,16186.23
Gilles,Honoré,hgilles@voila.fr,08,1987-09-12,72,8671.59
Moulin,Isabelle,imoulin@sfr.fr,90,1968-03-02,117,6703.09
Chretien,Océane,ochretien@orange.fr,28,1990-05-19,74,1804.81
Prevost,Maggie,mprevost1@tele2.fr,30,1981-09-09,95,8104.15
Georges,David,dgeorges.yahoo.fr,51,1955-01-27,142,19082.25
Grondin,Alexandre,agrondin@tiscali.fr,02,2014-14-32,33,3439.84
Lefebvre,Éléonore,elefebvre@tele2.fr,978,2020-10-32,71,1818.42
Dos Santos,Michèle,mdos santos2@free.fr,83,1991-05-02,139,13695.34
Huet,Nath,nhuet@hotmail.fr,82,1987-11-17,79,-2001.44
Besson,Antoinette,abesson1@hotmail.fr,59,1986-11-21,100,10581.8
Henry,Colette,chenry@ifrance.com,60,1989-02-01,62,3119.2
Rodrigues,Jules,jrodrigues@free.fr,25,1953-01-03,84,5922.54
Mahe,Nath,nmahe@live.com,974,1977-04-08,50,-6005.68
Michel,Charles,cmichel@dbmail.com,2B,1975-06-18,67,7776.84
Joubert,Maryse,mjoubert1@yahoo.fr,37,2001-08-06,77,10055.19
Blondel,Clémence,cblondel@hotmail.fr,40,1988-08-22,134,2002.29
Marin,Lucy,lmarin@sfr.fr,977,1962-12-04,93,3031.88
Delahaye,Patrick,pdelahaye@tele2.fr,62,1954-06-09,69,5529.62
Bonneau,Bertrand,bbonneau.bouygtel.fr,52,1940-07-14,58,-4406.8
Pruvost,Marianne,mpruvost3@gmail.com,52,1969-10-05,3,324.97
Lefevre,Adélaïde,alefevre1@yahoo.fr,77,1953-06-17,25,2600.13
Fouquet,Alfred,afouquet1@dbmail.com,977,1940-04-19,-108,-6979.3
Perez,Agathe,aperez1@free.fr,48,1971-03-12,18,929.6
Marques,Marcelle,mmarques1@tele2.fr,93,1948-05-16,20,2254.2
Descamps,Maggie,mdescamps3@gmail.com,19,2002-08-26,10,1115.01
Marin,Adèle,amarin.wanadoo.fr,65,1953-07-23,126,-383.98
Meunier,Suzanne,smeunier@hotmail.fr,93,1952-12-15,121,1718.71
Loiseau,Suzanne,sloiseau@bouygtel.fr,41,1945-12-12,63,149.44
Marchand,Claire,cmarchand1@live.com,44,1976-05-12,135,11604.76
Charrier,Philippe,pcharrier@orange.fr,72,1981-08-31,77,6231.68
Humbert,David,dhumbert.gmail.com,39,1992-02-16,28,2335.48
Boulay,Isaac,iboulay@free.fr,17,1957-11-26,15,160.24
Godard,Victor,vgodard2@club-internet.fr,26,2018-14-31,137,14340.17
Gilbert,Audrey,,87,2001-09-21,115,10628.11
Da Silva,Luce,lda silva1@orange.fr,2C,1959-02-26,117,17675.68
Hebert,Véronique,vhebert@sfr.fr,26,1973-05-16,5,28.95
Lelievre,Noël,nlelievre@voila.fr,25,1941-10-10,21,868.02
Reynaud,Luce,lreynaud1@hotmail.fr,09,2019-13-31,-50,-2444.38
Riou,Monique,mriou1@laposte.net,30,1981-01-07,35,3685.5
Lemaitre,Jacqueline,jlemaitre3@noos.fr,28,1966-08-08,104,11122.91
Blin,Timothée,tblin@dbmail.com,04,1940-01-17,2,113.25
Gomez,Martine,mgomez@hotmail.fr,11,2007-13-28,8,1049.43
Petit,Luc,lpetit2@tele2.fr,96,1966-12-19,138,819.81
Merle,Lucy,lmerle1@hotmail.fr,976,1962-03-24,62,685.58
Herve,Charlotte,cherve1@bouygtel.fr,977,1991-07-06,12,588.31
