email,dépenses
lvalentin@dbmail.com,23.24
dgiraud@bouygtel.fr,25.06
arenaud@noos.fr,106.42
bfoucher@hotmail.fr,105.29
dboyer@club-internet.fr,62.14
adelaunay@gmail.com,106.42
arossi@hotmail.fr,42.37
cbonnet@yahoo.fr,30.91
ileclercq@wanadoo.fr,149.84
dcousin@wanadoo.fr,83.07
ievrard@gmail.com,93.27
emaury@voila.fr,140.57
jgarnier@wanadoo.fr,7.5
imorin@laposte.net,118.34
aklein@tele2.fr,63.55
scolin@hotmail.fr,144.31
vlaurent@free.fr,123.49
atecher@voila.fr,83.91
vlevy@free.fr,128.97
tremy@dbmail.com,47.88
jtanguy@voila.fr,143.89
ppetit@bouygtel.fr,99.08
lbailly@ifrance.com,112.27
srodrigues@laposte.net,41.79
alegrand@noos.fr,55.1
jhenry@laposte.net,143.01
smorel@yahoo.fr,125.2
alagarde@voila.fr,2.18
jvalette@wanadoo.fr,56.79
jpoulain@tiscali.fr,10.93
cbesson@dbmail.com,81.1
jpayet@wanadoo.fr,82.1
mgonzalez@bouygtel.fr,67.8
retienne@sfr.fr,19.62
omorin@laposte.net,47.75
cdaniel@hotmail.fr,70.23
bschmitt@gmail.com,122.46
blabbe@club-internet.fr,74.14
dmoulin@wanadoo.fr,16.94
amartins@gmail.com,105.69
rdeschamps@live.com,71.77
ebarbe@laposte.net,76.83
gnormand@tiscali.fr,64.47
jle goff@bouygtel.fr,28.95
jcousin@laposte.net,16.14
tmichel@free.fr,32.65
aleveque@club-internet.fr,15.21
edelannoy@dbmail.com,23.58
ychartier@ifrance.com,80.11
lblondel@tele2.fr,143.92
tjulien@tiscali.fr,48.92
cbreton@noos.fr,135.96
jmoreno@club-internet.fr,24.59
froussel@dbmail.com,2.16
mrobin@club-internet.fr,76.97
mpoirier@tiscali.fr,114.8
pgermain@tele2.fr,146.0
oboulay@club-internet.fr,113.52
vallard@noos.fr,116.15
ebrunel@laposte.net,107.68
ccamus@bouygtel.fr,134.04
cdelmas@free.fr,65.94
pdubois@tele2.fr,98.64
snguyen@free.fr,34.51
acousin@orange.fr,128.23
cclement@bouygtel.fr,143.85
mpayet@yahoo.fr,108.74
hbesson@tiscali.fr,138.16
ghernandez@tele2.fr,51.38
mleclercq@tele2.fr,100.89
cduhamel@gmail.com,142.93
ngautier@bouygtel.fr,64.13
mleleu@live.com,124.99
alebrun@noos.fr,115.21
amarchal@bouygtel.fr,113.77
cmeyer@ifrance.com,53.9
jbarre@wanadoo.fr,98.99
zferreira@club-internet.fr,37.73
epages@hotmail.fr,38.94
plegrand@hotmail.fr,21.31
tbouvier@free.fr,5.38
frobin@tele2.fr,147.35
cmathieu@noos.fr,96.52
agosselin@orange.fr,3.68
pfouquet@wanadoo.fr,109.56
agay@live.com,92.67
vlamy@yahoo.fr,148.85
mjoly@tele2.fr,38.8
nfabre@bouygtel.fr,91.1
rlemoine@club-internet.fr,3.21
omarques@tele2.fr,26.55
abesson@dbmail.com,98.95
elemaitre@yahoo.fr,18.75
vklein@laposte.net,113.87
alebreton@bouygtel.fr,60.53
oberthelot@ifrance.com,42.23
achartier@bouygtel.fr,151.03
bjoubert@hotmail.fr,81.2
cpichon@ifrance.com,127.72
erobert@tele2.fr,143.86
cchartier@yahoo.fr,137.07
nramos@voila.fr,139.41
ndubois@wanadoo.fr,20.79
tnoel@sfr.fr,145.52
harnaud@tiscali.fr,151.62
sbigot@hotmail.fr,113.16
glombard@dbmail.com,53.47
gschneider@laposte.net,3.07
tregnier@free.fr,5.0
elemonnier@tiscali.fr,74.74
tklein@tiscali.fr,123.31
vhubert@tele2.fr,67.85
mpineau@club-internet.fr,129.84
tdupuis@laposte.net,135.69
cdias@tiscali.fr,27.99
lbernard@yahoo.fr,133.82
eleger@sfr.fr,74.2
dalves@gmail.com,45.18
mjacquet@noos.fr,73.98
asimon@club-internet.fr,111.02
tdupuy@hotmail.fr,92.25
mlejeune@club-internet.fr,17.38
bda silva@gmail.com,5.8
llecoq@orange.fr,83.86
adaniel@sfr.fr,148.5
gblot@tele2.fr,84.85
aguibert@laposte.net,136.85
spruvost@laposte.net,3.01
gleleu@wanadoo.fr,45.85
cbonneau@free.fr,4.88
mprevost@bouygtel.fr,100.2
acolas@free.fr,45.98
ipasquier@voila.fr,110.02
jmasson@ifrance.com,18.89
vfischer@yahoo.fr,130.83
ecosta@noos.fr,3.46
mlaroche@hotmail.fr,49.12
fgilbert@laposte.net,15.88
vbouvier@club-internet.fr,31.18
bboulanger@hotmail.fr,59.47
shebert@gmail.com,64.71
slefort@live.com,59.71
tleger@club-internet.fr,143.2
jleger@orange.fr,28.45
sallard@free.fr,140.94
hbuisson@wanadoo.fr,144.07
wguyon@wanadoo.fr,112.25
tbarthelemy@tele2.fr,61.35
tgros@laposte.net,143.28
mmartin@sfr.fr,56.39
mferrand@ifrance.com,4.26
troussel@free.fr,138.2
rcordier@orange.fr,79.12
sguillou@hotmail.fr,42.55
groux@yahoo.fr,81.37
pgermain@tiscali.fr,150.92
avoisin@ifrance.com,97.32
bgilbert@tiscali.fr,119.47
dblanc@sfr.fr,20.84
avalette@dbmail.com,24.9
mbertin@sfr.fr,74.47
dbigot@live.com,105.88
cblanchet@dbmail.com,126.68
esanchez@bouygtel.fr,30.48
vtessier@free.fr,147.12
mdubois@bouygtel.fr,129.23
hhoareau@tele2.fr,27.16
mhenry@tiscali.fr,90.73
nfabre@hotmail.fr,86.54
mguichard@noos.fr,104.51
tmarion@ifrance.com,150.49
hgosselin@yahoo.fr,42.19
rlefevre@noos.fr,22.32
lbarthelemy@bouygtel.fr,6.96
hherve@bouygtel.fr,11.72
rcarre@wanadoo.fr,32.54
cmendes@free.fr,76.6
ipaul@yahoo.fr,22.02
pbuisson@live.com,143.98
ngeorges@ifrance.com,151.9
nbourdon@hotmail.fr,67.86
lmarin@laposte.net,97.5
lpoirier@sfr.fr,129.15
jgregoire@dbmail.com,87.09
dvallee@laposte.net,138.18
rdijoux@tele2.fr,14.0
slebrun@tele2.fr,77.36
aguillou@wanadoo.fr,2.03
ada silva@bouygtel.fr,71.14
aklein@tele2.fr,19.5
tle goff@club-internet.fr,65.28
broger@noos.fr,48.09
craynaud@tele2.fr,94.26
gevrard@live.com,16.12
bjoly@laposte.net,143.98
mnoel@wanadoo.fr,9.13
fcollet@dbmail.com,73.88
npelletier@club-internet.fr,3.96
gmaurice@club-internet.fr,82.97
pperon@dbmail.com,134.77
omillet@ifrance.com,26.22
cpruvost@live.com,103.26
btraore@wanadoo.fr,63.7
ele gall@gmail.com,2.56
cboucher@wanadoo.fr,5.58
hlefevre@voila.fr,80.09
acordier@wanadoo.fr,46.81
jpascal@sfr.fr,60.93
hherve@orange.fr,48.95
flouis@laposte.net,122.63
sleblanc@laposte.net,32.75
mpotier@ifrance.com,70.49
tde oliveira@sfr.fr,140.22
mmerle@free.fr,61.26
bparent@hotmail.fr,32.82
pschneider@dbmail.com,35.24
jtraore@club-internet.fr,127.76
vlaunay@sfr.fr,21.32
croyer@bouygtel.fr,91.72
dblanchard@tele2.fr,75.22
rroy@dbmail.com,99.89
rmace@yahoo.fr,22.92
pmorin@orange.fr,143.38
hdos santos@laposte.net,19.01
ilefort@live.com,109.88
jteixeira@orange.fr,97.54
haubert@voila.fr,53.35
amorvan@dbmail.com,78.1
dbouvet@dbmail.com,98.37
jguilbert@gmail.com,94.95
jcoulon@gmail.com,146.96
tguillaume@gmail.com,113.89
lroux@tele2.fr,150.16
aetienne@voila.fr,17.9
dbesson@sfr.fr,13.24
rdelmas@bouygtel.fr,4.61
grichard@voila.fr,9.01
mlemonnier@gmail.com,103.18
rlefebvre@laposte.net,147.96
vweiss@tiscali.fr,53.16
gollivier@live.com,13.76
rpages@sfr.fr,108.76
amoreau@gmail.com,123.7
cblondel@laposte.net,114.03
gmasse@noos.fr,52.85
edenis@hotmail.fr,86.86
nmathieu@free.fr,49.74
ajacquet@dbmail.com,142.92
cramos@bouygtel.fr,101.85
cbarre@yahoo.fr,97.83
vlagarde@bouygtel.fr,31.03
lgaillard@ifrance.com,124.75
cherve@dbmail.com,117.53
slecoq@orange.fr,32.03
dpruvost@gmail.com,126.24
abreton@laposte.net,89.88
omallet@tiscali.fr,140.07
fvaillant@voila.fr,114.97
pclement@hotmail.fr,126.55
vtessier@tele2.fr,5.95
ljoubert@free.fr,70.33
efaure@orange.fr,141.09
njoly@live.com,83.66
falves@yahoo.fr,129.44
vdos santos@hotmail.fr,28.88
rfleury@noos.fr,131.59
hgodard@tiscali.fr,143.32
lmorin@voila.fr,82.37
jdupont@yahoo.fr,29.64
emahe@laposte.net,61.2
emathieu@club-internet.fr,105.6
eregnier@laposte.net,35.17
dribeiro@gmail.com,142.06
faubry@ifrance.com,83.77
claurent@yahoo.fr,141.46
bmendes@orange.fr,138.86
vmerle@club-internet.fr,85.45
adelannoy@ifrance.com,10.24
mmace@tiscali.fr,145.53
cdumont@free.fr,67.36
snguyen@club-internet.fr,87.62
tguillot@wanadoo.fr,24.03
smorvan@tele2.fr,97.68
bmoulin@voila.fr,79.7
llopez@free.fr,128.75
crossi@laposte.net,142.76
elecoq@tele2.fr,47.61
bbazin@free.fr,68.12
mandre@dbmail.com,22.02
cbesson@noos.fr,69.65
lhernandez@voila.fr,131.65
atexier@yahoo.fr,85.04
lbecker@laposte.net,94.87
hmarechal@gmail.com,31.09
rmaury@tiscali.fr,114.35
ethibault@voila.fr,23.27
erousseau@live.com,147.15
rseguin@tele2.fr,13.75
llabbe@yahoo.fr,28.74
dlebreton@bouygtel.fr,117.32
rbazin@tele2.fr,119.54
cbouvier@hotmail.fr,47.47
njacques@live.com,23.07
mbazin@voila.fr,120.72
jda costa@hotmail.fr,114.03
alabbe@club-internet.fr,51.62
epierre@free.fr,122.24
amarin@voila.fr,22.66
claurent@tiscali.fr,139.91
vdufour@ifrance.com,123.2
spaul@sfr.fr,62.29
lblanc@live.com,143.64
ybernier@tele2.fr,85.23
rdupuy@live.com,44.95
tarnaud@orange.fr,95.84
emorin@ifrance.com,61.5
nmaillard@laposte.net,124.97
drobert@dbmail.com,79.6
amasson@noos.fr,73.18
xrenault@hotmail.fr,134.99
tbrunel@gmail.com,38.35
bmarechal@tiscali.fr,118.2
ajourdan@tiscali.fr,99.83
vdurand@hotmail.fr,72.59
jarnaud@live.com,124.11
mandre@tiscali.fr,38.19
slebrun@yahoo.fr,81.31
jboulay@bouygtel.fr,137.21
vcousin@gmail.com,29.22
msauvage@wanadoo.fr,102.33
eauger@noos.fr,18.12
hmoulin@yahoo.fr,88.92
cletellier@club-internet.fr,128.32
smarechal@laposte.net,44.97
jguyot@sfr.fr,132.62
elegendre@hotmail.fr,64.99
ojacquot@free.fr,65.18
bbaudry@yahoo.fr,144.94
mteixeira@voila.fr,150.39
edelaunay@gmail.com,12.19
gmary@tele2.fr,79.65
mjacquot@voila.fr,81.83
mpayet@free.fr,114.19
pfleury@noos.fr,31.72
lhoareau@noos.fr,151.7
apichon@laposte.net,99.8
pguilbert@free.fr,50.6
rguyot@free.fr,90.81
nclerc@gmail.com,23.76
gle goff@yahoo.fr,90.0
blaporte@noos.fr,28.63
pbrun@voila.fr,27.03
nwagner@tele2.fr,3.39
jchauvet@sfr.fr,20.44
crichard@wanadoo.fr,23.73
icarlier@tiscali.fr,53.83
tbegue@tiscali.fr,99.87
mchauvet@noos.fr,129.09
lroyer@free.fr,106.35
jdupont@tiscali.fr,82.01
emartin@wanadoo.fr,147.04
cguillot@voila.fr,73.9
croger@dbmail.com,99.08
jrobin@tiscali.fr,3.98
oguillou@tiscali.fr,33.96
tfournier@gmail.com,10.64
xnavarro@live.com,136.54
vferreira@noos.fr,84.4
jboulanger@hotmail.fr,120.38
calexandre@free.fr,15.64
rleger@club-internet.fr,43.43
vmartinez@voila.fr,100.23
igauthier@hotmail.fr,58.27
lramos@wanadoo.fr,141.88
cfaure@voila.fr,134.89
blelievre@noos.fr,55.41
bbenard@tele2.fr,60.6
fcollin@club-internet.fr,13.85
lcolas@live.com,118.61
zbarre@yahoo.fr,58.88
mwagner@tele2.fr,66.22
clesage@live.com,62.75
mchevalier@bouygtel.fr,123.14
lcosta@laposte.net,83.72
acollet@bouygtel.fr,31.23
dmillet@yahoo.fr,99.83
ycolas@free.fr,79.48
lleblanc@free.fr,48.37
flelievre@yahoo.fr,54.91
dhamon@tele2.fr,122.53
nlaunay@voila.fr,38.76
edos santos@bouygtel.fr,55.98
croy@hotmail.fr,5.05
ebrunet@club-internet.fr,136.89
gblot@tele2.fr,32.22
pguillaume@tele2.fr,48.18
ipasquier@bouygtel.fr,139.64
lleveque@free.fr,83.54
ssauvage@gmail.com,138.92
ncolin@sfr.fr,80.88
nnicolas@voila.fr,26.96
bmonnier@sfr.fr,150.03
dmaillet@noos.fr,145.65
gvallee@wanadoo.fr,27.72
hmaillet@tele2.fr,134.93
dmoreau@dbmail.com,126.76
nduhamel@noos.fr,124.72
mmarchal@dbmail.com,10.26
mgilbert@gmail.com,3.9
gpasquier@sfr.fr,59.33
jbarre@live.com,96.17
vledoux@sfr.fr,26.45
pchevallier@hotmail.fr,42.51
shamon@wanadoo.fr,139.05
jblanchard@wanadoo.fr,26.88
lle goff@tiscali.fr,84.45
plaroche@orange.fr,136.45
rlebrun@sfr.fr,113.98
aboutin@bouygtel.fr,138.74
agilbert@tiscali.fr,143.92
jloiseau@yahoo.fr,80.44
ablanchard@yahoo.fr,12.14
